 0.038, 0.040
 0.058, 0.038
 0.098, 0.120
 0.133, 0.126
 0.177, 0.197
 0.216, 0.193
 0.242, 0.257
 0.304, 0.302
 0.365, 0.366
 0.387, 0.410
 0.501, 0.460
 0.410, 0.431
 0.338, 0.334
 0.316, 0.332
 0.195, 0.178
 0.129, 0.140
 0.023, 0.019
 0.012, 0.016
 0.061, 0.053
 0.231, 0.231
 0.322, 0.317
 0.337, 0.337
 0.385, 0.396
 0.425, 0.417
 0.501, 0.502
 0.508, 0.509
 0.607, 0.610
 0.696, 0.700
 0.779, 0.763
 0.941, 0.956
 1.000, 0.984
 0.899, 0.912
 0.755, 0.749
 0.653, 0.643
 0.579, 0.582
 0.491, 0.486
 0.408, 0.419
 0.318, 0.294
 0.200, 0.211
 0.136, 0.142
 0.036, 0.044
 0.025, 0.017
 0.004, 0.006
 0.001, 0.001
 0.000,-0.003
