 0.179, 0.190
 0.094, 0.046
 0.078, 0.117
 0.049, 0.053
 0.051, 0.050
 0.044, 0.034
 0.014, 0.033
 0.027, 0.028
 0.089, 0.089
 0.158, 0.191
 0.289, 0.231
 0.175, 0.202
 0.296, 0.291
 0.339, 0.362
 0.415, 0.395
 0.497, 0.513
 0.589, 0.585
 0.707, 0.710
 0.810, 0.796
 0.890, 0.891
 1.000, 0.994
 0.901, 0.902
 0.912, 0.926
 0.901, 0.895
 0.854, 0.855
 0.916, 0.914
 0.912, 0.921
 0.911, 0.915
 0.895, 0.869
 0.222, 0.248
 0.167, 0.144
 0.095, 0.118
 0.046, 0.030
 0.000,-0.016
 0.050, 0.054
 0.056, 0.051
 0.076, 0.088
 0.072, 0.038
 0.123, 0.141
 0.209, 0.218
 0.126, 0.141
 0.136, 0.121
 0.048, 0.051
 0.058, 0.053
 0.049, 0.047
