 0.237, 0.500
 0.171, 0.477
 0.158, 0.448
 0.135, 0.412
 0.134, 0.246
 0.119, 0.197
 0.069, 0.148
 0.116, 0.199
 0.158, 0.427
 0.215, 0.405
 0.281, 0.207
 0.342, 0.354
 0.439, 0.016
 0.498,-0.170
 0.531,-0.078
 0.593, 0.187
 0.664, 0.343
 0.988, 0.458
 1.000, 0.503
 0.976, 0.482
 0.865, 0.439
 0.786, 0.414
 0.795, 0.529
 0.784, 0.598
 0.749, 0.553
 0.534, 0.233
 0.442, 0.000
 0.325,-0.331
 0.088,-0.378
 0.031,-0.494
 0.000,-0.190
 0.040, 0.061
 0.087, 0.245
 0.095, 0.310
 0.135, 0.172
 0.139, 0.164
 0.155, 0.206
 0.164, 0.128
 0.193, 0.157
 0.388, 0.131
 0.266, 0.161
 0.203, 0.222
 0.146, 0.175
 0.139, 0.124
 0.124, 0.114
