 1.092 0.000
 1.064 0.000
 1.084 0.000
 1.122 0.000
 1.168 0.000
 1.282 0.000
 1.391 0.000
 1.489 0.000
 1.369 0.000
 1.238 0.000
 1.116 0.000
 1.084 0.000
 1.058 0.000
 1.030 0.000
 1.013 0.000
 1.000 0.000
 1.006 0.000
 1.019 0.000
 1.050 0.000
 1.119 0.000
 1.339 0.000
 1.541 0.000
 1.661 0.000
 1.771 0.000
 1.875 0.000
 2.000 0.000
 1.777 0.000
 1.546 0.000
 1.426 0.000
 1.223 0.000
 1.206 0.000
 1.080 0.000
 1.053 0.000
 1.039 0.000
 1.016 0.000
 1.055 0.000
 1.060 0.000
 1.067 0.000
 1.075 0.000
 1.100 0.000
 1.192 0.000
 1.311 0.000
 1.404 0.000
 1.287 0.000
 1.193 0.000
