 0.092, 0.200
 0.064, 0.199
 0.084, 0.197
 0.122, 0.195
 0.168, 0.142
 0.282, 0.127
 0.391, 0.114
 0.489, 0.137
 0.369, 0.306
 0.238, 0.304
 0.116, 0.248
 0.084, 0.240
 0.058, 0.006
 0.030,-0.180
 0.013,-0.014
 0.000, 0.270
 0.006, 0.326
 0.019, 0.294
 0.050, 0.198
 0.119, 0.089
 0.339, 0.022
 0.541, 0.020
 0.661, 0.226
 0.771, 0.364
 0.875, 0.427
 1.000, 0.315
 0.777, 0.163
 0.546,-0.059
 0.426,-0.186
 0.223,-0.244
 0.206, 0.037
 0.080,-0.012
 0.053, 0.295
 0.039, 0.376
 0.016, 0.133
 0.055,-0.018
 0.060, 0.059
 0.067,-0.059
 0.075, 0.005
 0.100,-0.016
 0.192, 0.052
 0.311, 0.191
 0.404, 0.189
 0.287, 0.202
 0.193, 0.203
