 0.046  0.147
 0.061  0.072
 0.058  0.068
 0.070  0.144
 0.080  0.167
 0.087  0.100
 0.137 -0.064
 0.142 -0.279
 0.157 -0.275
 0.173 -0.118
 0.252  0.028
 0.323  0.131
 0.439  0.193
 0.541  0.127
 0.458  0.095
 0.429  0.218
 0.322  0.361
 0.305  0.376
 0.236  0.317
 0.133  0.218
 0.188  0.141
 0.445  0.061
 0.634  0.057
 0.816  0.193
 0.900  0.299
 1.000  0.220
 0.820  0.269
 0.635  0.187
 0.417  0.159
 0.189  0.188
 0.082  0.203
 0.064  0.130
 0.052 -0.083
 0.041 -0.233
 0.034 -0.042
 0.026  0.149
 0.011  0.258
 0.002  0.243
 0.000  0.183
 0.002  0.196
 0.015  0.265
 0.035  0.319
 0.063  0.382
 0.081  0.145
 0.090  0.042
